artist,availability,colorIdentity,colors,defense,edhrecRank,edhrecSaltiness,frameVersion,keywords,layout,life,loyalty,manaCost,manaValue,name,number,otherFaceIds,power,printings,rarity,setCode,subtypes,supertypes,toughness,types
Christopher Rush,"mtgo, paper",W,W,,12472.0,0.22,2003,,normal,,,{W},1.0,Demystify,14,,,"10E, 8ED, 9ED, M12, ONS, ROE, XLN",common,10E,,,,Instant
Stephen Tappin,"mtgo, paper",W,W,,6550.0,,2003,,normal,,,{1}{W}{W},3.0,Field Marshal,15,,2,"10E, CSP, SLD",rare,10E,"Human, Soldier",,2,Creature
Ittoku,"mtgo, paper",W,W,,23908.0,0.09,2003,,normal,,,{1}{W},2.0,Ghost Warden,16,,1,"10E, GPT",common,10E,Spirit,,1,Creature
Kev Walker,"mtgo, paper",W,W,,4090.0,0.05,2003,,normal,,,{1}{W}{W},3.0,Glorious Anthem,17,,,"10E, 7ED, 8ED, 9ED, M21, PJAS, PJJT, PJSE, PM21, PRM, PS11, PSUS, USG",rare,10E,,,,Enchantment
Anthony S. Waters,"mtgo, paper",W,W,,17198.0,,2003,,normal,,,{X}{W},1.0,Hail of Arrows,18,,,"10E, CN2, SOK",uncommon,10E,,,,Instant
Luca Zontini,"mtgo, paper",W,W,,20696.0,0.07,2003,Enchant,normal,,,{2}{W},3.0,Heart of Light,19,,,"10E, BOK",common,10E,Aura,,,Enchantment
rk post,"mtgo, paper",W,W,,15506.0,0.12,2003,,normal,,,{W},1.0,High Ground,20,,,"10E, EXO, PLIST",uncommon,10E,,,,Enchantment
Volkan BaÇµa,"mtgo, paper",W,W,,7295.0,0.25,2003,,normal,,,{W},1.0,Holy Day,21,,,"10E, 8ED, 9ED, INV, LEG, PS11",common,10E,,,,Instant
Terese Nielsen,"mtgo, paper",W,W,,16480.0,,2003,Enchant,normal,,,{W},1.0,Holy Strength,22,,,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 7ED, 8ED, 9ED, CED, CEI, FBB, LEA, LEB, M10, M11, PS11, SUM",common,10E,Aura,,,Enchantment
Dan Dos Santos,"mtgo, paper",W,W,,23794.0,,2003,,normal,,,{W},1.0,Honor Guard,23,,1,"10E, 7ED, 8ED, 9ED, STH",common,10E,"Human, Soldier",,1,Creature
Stephen Tappin,"mtgo, paper",W,W,,25284.0,,2003,,normal,,,{W},1.0,Icatian Priest,24,,1,"10E, DDC, DVD, FEM",uncommon,10E,"Human, Cleric",,1,Creature
Carl Critchlow,"mtgo, paper",W,W,,20698.0,0.12,2003,,normal,,,{3}{W}{W},5.0,Kjeldoran Royal Guard,25,,2,"10E, 5ED, 6ED, 7ED, ICE",rare,10E,"Human, Soldier",,5,Creature
Randy Gallegos,"mtgo, paper",W,W,,20270.0,0.04,2003,,normal,,,{3}{W}{W},5.0,Loxodon Mystic,26,,3,"10E, DST",common,10E,"Elephant, Cleric",,3,Creature
Michael Sutfin,"mtgo, paper",W,W,,14932.0,0.15,2003,,normal,,,{W},1.0,Loyal Sentry,27,,1,"10E, A25, DDF, MB1, S99",rare,10E,"Human, Soldier",,1,Creature
Daren Bader,"mtgo, paper",W,W,,24164.0,0.14,2003,,normal,,,{W},1.0,Luminesce,28,,,"10E, CSP",uncommon,10E,,,,Instant
Carl Critchlow,"mtgo, paper",W,W,,7104.0,,2003,,normal,,,{2}{W},3.0,Mobilization,29,,,"10E, C14, ONS",rare,10E,,,,Enchantment
Darrell Riche,"mtgo, paper",W,W,,8395.0,0.05,2003,,normal,,,{2}{W},3.0,Nomad Mythmaker,30,,2,"10E, JUD, PLIST",rare,10E,"Human, Nomad, Cleric",,2,Creature
Robert Bliss,"mtgo, paper",W,W,,4476.0,0.27,2003,Enchant,normal,,,{1}{W},2.0,Pacifism,31,,,"10E, 6ED, 7ED, 8ED, 9ED, A25, ANB, ATH, BBD, BRB, DDC, DMR, DTK, DVD, EMA, IKO, JMP, M10, M11, M12, M13, M14, M20, MB1, MIR, ONS, PS11, PSAL, TMP, TPR, USG, WC04",common,10E,Aura,,,Enchantment
Dave Kendall,"mtgo, paper",W,W,,15778.0,0.1,2003,"First strike, Protection",normal,,,{1}{W}{W},3.0,Paladin en-Vec,32,,2,"10E, 9ED, EXO, PLIST, TPR, WC98",rare,10E,"Human, Knight",,2,Creature
Jon J Muth,"mtgo, paper",W,W,,3923.0,0.24,2003,Enchant,normal,,,{2}{W},3.0,Pariah,33,,,"10E, 7ED, CN2, PLIST, PS11, USG",rare,10E,Aura,,,Enchantment
D. Alexander Gregory,"mtgo, paper",W,W,,17770.0,0.05,2003,,normal,,,{2}{W},3.0,Reviving Dose,34,,,"10E, CN2, INV, MB1",common,10E,,,,Instant
Matthew D. Wilson,"mtgo, paper",W,W,,2692.0,0.25,2003,Flying,normal,,,{6}{W}{W}{W},9.0,Reya Dawnbringer,35,,4,"10E, CNS, DDC, DVD, INV, P10E, PRM, PZ1, UMA",rare,10E,Angel,Legendary,6,Creature
Wayne England,"mtgo, paper",W,W,,12833.0,0.13,2003,,normal,,,{W},1.0,Righteousness,36,,,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 9ED, CED, CEI, DDL, ELD, FBB, J22, LEA, LEB, M10, SUM",rare,10E,,,,Instant
Scott M. Fischer,"mtgo, paper",W,W,,1561.0,1.53,2003,,normal,,,{2}{W},3.0,Rule of Law,37,,,"10E, M20, MRD",uncommon,10E,,,,Enchantment
Anson Maddocks,"mtgo, paper",W,W,,22655.0,,2003,,normal,,,{1}{W},2.0,Samite Healer,38,,1,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, ATH, CED, CEI, FBB, LEA, LEB, SUM",common,10E,"Human, Cleric",,1,Creature
Greg Staples,"mtgo, paper",W,W,,8922.0,,2003,"Flying, Vigilance",normal,,,{3}{W}{W},5.0,Serra Angel,39,,4,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 7ED, 8ED, 9ED, ANB, ATH, CED, CEI, CMA, CMD, DDC, DMR, DOM, DVD, EMA, FBB, GN3, GNT, IMA, JMP, LEA, LEB, M10, M11, M12, M13, M14, M15, ME4, O90P, OANA, ORI, P30A, P30H, PDOM, PMDA, PRM, PS11, PTC, PWOS, SLD, SUM, V15, W16, W17",rare,10E,Angel,,4,Creature
Zoltan Boros & Gabor Szikszai,"mtgo, paper",W,W,,14197.0,,2003,Enchant,normal,,,{2}{W}{W},4.0,Serra's Embrace,40,,,"10E, 7ED, DDC, DVD, MB1, PS11, USG",uncommon,10E,Aura,,,Enchantment
Matt Cavotta,"mtgo, paper",W,W,,17190.0,0.13,2003,"First strike, Flying",normal,,,{2}{W}{W},4.0,Skyhunter Patrol,41,,2,"10E, DDG, J22, MRD, PSAL",common,10E,"Cat, Knight",,3,Creature
Vance Kovacs,"mtgo, paper",W,W,,17117.0,0.25,2003,"Flying, Vigilance",normal,,,{2}{W},3.0,Skyhunter Prowler,42,,1,"10E, 5DN, 9ED, J22",common,10E,"Cat, Knight",,3,Creature
Greg Staples,"mtgo, paper",W,W,,7832.0,0.07,2003,"Double strike, Flying",normal,,,{1}{W}{W},3.0,Skyhunter Skirmisher,43,,1,"10E, 5DN, C14, MB1, MM2, PS11, PSAL",uncommon,10E,"Cat, Knight",,1,Creature
Randy Gallegos,"mtgo, paper",W,W,,586.0,0.32,2003,,normal,,,{W},1.0,Soul Warden,44,,1,"10E, 9ED, BRB, EXO, HA1, HOP, M10, MB1, MD1, MM3, PSAL, WC98",uncommon,10E,"Human, Cleric",,1,Creature
Kev Walker,"mtgo, paper",W,W,,5258.0,0.4,2003,Enchant,normal,,,{W},1.0,Spirit Link,45,,,"10E, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, DMR, LEG, PSAL, REN, WC98",uncommon,10E,Aura,,,Enchantment
Matthew D. Wilson,"mtgo, paper",W,W,,25399.0,,2003,,normal,,,{1}{W},2.0,Spirit Weaver,46,,2,"10E, INV",uncommon,10E,"Human, Wizard",,1,Creature
Glen Angus,"mtgo, paper",W,W,,24267.0,0.05,2003,,normal,,,{1}{W},2.0,Starlight Invoker,47,,1,"10E, LGN",uncommon,10E,"Human, Cleric, Mutant",,3,Creature
Michael Komarck,"mtgo, paper",W,W,,20647.0,,2003,Vigilance,normal,,,{W}{W},2.0,Steadfast Guard,48,,2,"10E, MMQ",common,10E,"Human, Rebel",,2,Creature
Aleksi Briclot,"mtgo, paper",W,W,,13581.0,0.07,2003,,normal,,,{1}{W}{W},3.0,Story Circle,49,,,"10E, 8ED, 9ED, MMQ",rare,10E,,,,Enchantment
Heather Hudson,"mtgo, paper",W,W,,14498.0,0.25,2003,Flying,normal,,,{W},1.0,Suntail Hawk,50,,1,"10E, 8ED, 9ED, JUD, M14, PS11",common,10E,Bird,,1,Creature
Wayne England,"mtgo, paper",W,W,,16401.0,0.38,2003,,normal,,,{2}{W},3.0,Tempest of Light,51,,,"10E, 9ED, M10, MRD",uncommon,10E,,,,Instant
Adam Rex,"mtgo, paper",W,W,,13707.0,0.06,2003,,normal,,,{2}{W},3.0,Treasure Hunter,52,,2,"10E, EXO, PLIST",uncommon,10E,Human,,2,Creature
Alex Horley-Orlandelli,"mtgo, paper",W,W,,14761.0,0.06,2003,,normal,,,{W}{W},2.0,True Believer,53,,2,"10E, ONS",rare,10E,"Human, Cleric",,2,Creature
Richard Sardinha,"mtgo, paper",W,W,,17451.0,,2003,First strike,normal,,,{W},1.0,Tundra Wolves,54,,1,"10E, 4BB, 4ED, 5ED, 6ED, 8ED, LEG, PS11, REN",common,10E,Wolf,,1,Creature
D. Alexander Gregory,"mtgo, paper",W,W,,21548.0,,2003,,normal,,,{2}{W},3.0,Venerable Monk,55,,2,"10E, 6ED, 7ED, 8ED, 9ED, DDC, DVD, POR, PS11, S99, STH",common,10E,"Human, Monk, Cleric",,2,Creature
rk post,"mtgo, paper",W,W,,14941.0,0.12,2003,Flying,normal,,,{2}{W}{W},4.0,Voice of All,56,,2,"10E, CMA, CMD, DMR, PLS, PS11",rare,10E,Angel,,2,Creature
Zoltan Boros & Gabor Szikszai,"mtgo, paper",W,W,,15318.0,,2003,"Defender, Flying",normal,,,{3}{W},4.0,Wall of Swords,57,,3,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, CED, CEI, FBB, LEA, LEB, M14, POR, SUM",uncommon,10E,Wall,,5,Creature
D. Alexander Gregory,"mtgo, paper",W,W,,24414.0,,2003,,normal,,,{2}{W},3.0,Warrior's Honor,58,,,"10E, 6ED, 9ED, ATH, VIS",common,10E,,,,Instant
Matt Cavotta,"mtgo, paper",W,W,,16968.0,,2003,Flying,normal,,,{2}{W},3.0,Wild Griffin,59,,2,"10E, CN2, M11, MB1, ME4, P02, S00, S99",common,10E,Griffin,,2,Creature
Adam Rex,"mtgo, paper",W,W,,898.0,0.69,2003,Flying,normal,,,{3}{W},4.0,Windborn Muse,60,,2,"10E, C16, C21, CMD, DMR, LGN, ONC, PLIST, VOC",rare,10E,Spirit,,3,Creature
Kev Walker,"mtgo, paper",W,W,,315.0,0.52,2003,,normal,,,{2}{W}{W},4.0,Wrath of God,61,,,"10E, 2ED, 2XM, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, AKR, BRB, C13, CED, CEI, CMM, DMR, EMA, FBB, LEA, LEB, MP2, P07, PLIST, POR, PRM, PTC, PZ1, SLD, SUM, V14, WC00, WC03, WC04",rare,10E,,,,Sorcery
Rebecca Guay,"mtgo, paper",W,W,,16846.0,,2003,First strike,normal,,,{1}{W},2.0,Youthful Knight,62,,2,"10E, ATH, E01, ELD, MB1, MM3, PS11, STH, TPR",common,10E,"Human, Knight",,1,Creature
Stephen Daniele,"mtgo, paper",U,U,,18625.0,0.05,2003,,normal,,,{1}{U}{U},3.0,Academy Researchers,63,,2,"10E, USG",uncommon,10E,"Human, Wizard",,2,Creature
Kev Walker,"mtgo, paper",U,U,,18914.0,,2003,Flying,normal,,,{3}{U}{U},5.0,Air Elemental,64,,4,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, ANB, BRB, BTD, CED, CEI, DD2, DPA, FBB, GNT, JVC, LEA, LEB, M10, M19, M20, ME4, P02, PLIST, PS11, S99, SUM, W17, XLN",uncommon,10E,Elemental,,4,Creature
Jim Murray,"mtgo, paper",U,U,,13431.0,0.31,2003,Mill,normal,,,{1}{U}{U},3.0,Ambassador Laquatus,65,,1,"10E, TOR",rare,10E,"Merfolk, Wizard",Legendary,3,Creature
Justin Sweet,"mtgo, paper",U,U,,2093.0,0.26,2003,,normal,,,{3}{U}{U}{U},6.0,Arcanis the Omnipotent,66,,3,"10E, C17, DDN, DMR, EMA, ONS, PRM, SLD, WC03",rare,10E,Wizard,Legendary,4,Creature
Ray Lago,"mtgo, paper",U,U,,17544.0,0.35,2003,,normal,,,{1}{U},2.0,Aura Graft,67,,,"10E, ODY",uncommon,10E,,,,Instant
Christopher Moeller,"mtgo, paper",U,U,,19850.0,,2003,Flying,normal,,,{3}{U},4.0,Aven Fisher,68,,2,"10E, 8ED, 9ED, DMR, ODY",common,10E,"Bird, Soldier",,2,Creature
Greg Hildebrandt,"mtgo, paper",U,U,,23158.0,,2003,Flying,normal,,,{3}{U}{U},5.0,Aven Windreader,69,,3,"10E, 9ED, ODY, PSAL",common,10E,"Bird, Soldier, Wizard",,3,Creature
Arnie Swekel,"mtgo, paper",U,U,,7013.0,0.39,2003,,normal,,,{U}{U},2.0,Boomerang,70,,,"10E, 5ED, 6ED, 7ED, 8ED, 9ED, BCHR, CHR, DPA, LEG, ME3, MIR, PDCI, PRM, PS11, PSAL",common,10E,,,,Instant
Mark Poole,"mtgo, paper",U,U,,1824.0,0.28,2003,,normal,,,{1}{U}{U},3.0,Cancel,71,,,"10E, AKH, ALA, DPA, KTK, M10, M11, M12, M14, M15, M19, M21, MB1, P10, PC2, PCA, PRM, PS11, RTR, TSP, XLN, ZEN",common,10E,,,,Instant
Alan Pollack,"mtgo, paper",U,U,,7720.0,0.59,2003,,normal,,,{1}{U}{U},3.0,Cephalid Constable,72,,1,"10E, JUD, PSAL",rare,10E,"Cephalid, Wizard",,1,Creature
Kev Walker,"mtgo, paper",U,U,,2397.0,0.16,2003,,normal,,,{3}{U},4.0,Clone,73,,0,"10E, 2ED, 30A, 3ED, 9ED, CED, CEI, DDI, FBB, LEA, LEB, M10, M11, M13, M14, ONS, SUM",rare,10E,Shapeshifter,,0,Creature
Michael Sutfin,"mtgo, paper",U,U,,24499.0,0.04,2003,Flying,normal,,,{2}{U},3.0,Cloud Elemental,74,,2,"10E, BTD, M11, MB1, MM2, VIS, WC97",common,10E,Elemental,,3,Creature
Mark Zug,"mtgo, paper",U,U,,15027.0,,2003,Flying,normal,,,{U},1.0,Cloud Sprite,75,,1,"10E, DPA, MMQ, PS11",common,10E,Faerie,,1,Creature
Randy Gallegos,"mtgo, paper",U,U,,13739.0,,2003,,normal,,,{2}{U},3.0,Counsel of the Soratami,76,,,"10E, 9ED, CHK",common,10E,,,,Sorcery
Wayne England,"mtgo, paper",U,U,,20543.0,,2003,,normal,,,{2}{U},3.0,Crafty Pathmage,77,,1,"10E, 9ED, ONS",common,10E,"Human, Wizard",,1,Creature
Arnie Swekel,"mtgo, paper",U,U,,22742.0,0.17,2003,Enchant,normal,,,{3}{U},4.0,Dehydration,78,,,"10E, 8ED, 9ED, MMQ, PSAL",common,10E,Aura,,,Enchantment
Wayne England,"mtgo, paper",U,U,,11156.0,0.26,2003,,normal,,,{2}{U},3.0,Deluge,79,,,"10E, DPA, ODY, PS11",uncommon,10E,,,,Instant
Jim Pavelec,"mtgo, paper",U,U,,17533.0,0.06,2003,,normal,,,{6}{U}{U},8.0,Denizen of the Deep,80,,11,"10E, DMR, DPA, P02, PS11, S99",rare,10E,Serpent,,11,Creature
Alex Horley-Orlandelli,"mtgo, paper",U,U,,16764.0,0.33,2003,,normal,,,{2}{U}{U},4.0,Discombobulate,81,,,"10E, ONS",uncommon,10E,,,,Instant
Kev Walker,"mtgo, paper",U,U,,5146.0,0.33,2003,Mill,normal,,,{2}{U}{U},4.0,Dreamborn Muse,82,,2,"10E, CM2, CMD, LGN, PLIST",rare,10E,Spirit,,2,Creature
Franz Vohwinkel,"mtgo, paper",U,U,,1777.0,0.72,2003,,normal,,,{3}{U}{U},5.0,Evacuation,83,,,"10E, 7ED, 8ED, 9ED, C16, CMM, DPA, PS11, STH",rare,10E,,,,Instant
Brian Despain,"mtgo, paper",U,U,,16521.0,0.19,2003,,normal,,,{1}{U},2.0,Flashfreeze,84,,,"10E, CSP, M10, M11, M12, MB1, MM2",uncommon,10E,,,,Instant
Jon J Muth,"mtgo, paper",U,U,,22932.0,,2003,Flying,normal,,,{2}{U},3.0,Fog Elemental,85,,4,"10E, 6ED, BTD, WTH",uncommon,10E,Elemental,,4,Creature
Mark Zug,"mtgo, paper",U,U,,21811.0,0.38,2003,,normal,,,{U},1.0,Fugitive Wizard,86,,1,"10E, 8ED, 9ED, LGN, M15",common,10E,"Human, Wizard",,1,Creature
Scott Kirschner,"mtgo, paper",U,U,,9108.0,0.05,2003,,normal,,,{2}{U},3.0,Horseshoe Crab,87,,1,"10E, A25, DMR, MB1, USG",common,10E,Crab,,3,Creature
Ralph Horsley,"mtgo, paper",U,U,,6576.0,0.61,2003,,normal,,,{1}{U},2.0,Hurkyl's Recall,88,,,"10E, 3ED, 4BB, 4ED, 5ED, ATQ, FBB, MM2, PLIST, SUM",rare,10E,,,,Instant
Francis Tsai,"mtgo, paper",U,U,,25097.0,0.33,2003,,normal,,,{1}{U},2.0,Lumengrid Warden,89,,1,"10E, 9ED, MRD",common,10E,"Human, Wizard",,3,Creature
Greg Staples,"mtgo, paper",U,U,,18443.0,,2003,Flying,normal,,,{4}{U}{U},6.0,Mahamoti Djinn,90,,5,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 7ED, 8ED, 9ED, BTD, CED, CEI, DPA, FBB, IMA, LEA, LEB, M15, MB1, ME4, ORI, PS11, SUM, UMA",rare,10E,Djinn,,6,Creature
Ben Thompson,"mtgo, paper",U,U,,8862.0,0.3,2003,,normal,,,{3}{U},4.0,March of the Machines,91,,,"10E, ARC, MRD, PLIST",rare,10E,,,,Enchantment
Tristan Elwell,"mtgo, paper",U,U,,3421.0,0.03,2003,,normal,,,{1}{U},2.0,Merfolk Looter,92,,1,"10E, 7ED, A25, AFC, CN2, DDT, EMA, EXO, HA5, M10, M12, MB1, TD0, TPR, WC01, WC02",common,10E,"Merfolk, Rogue",,1,Creature
Mike Dringenberg,"mtgo, paper",U,U,,11113.0,0.36,2003,,normal,,,{U},1.0,Mind Bend,93,,,"10E, 8ED, 9ED, MIR",rare,10E,,,,Instant
Adam Rex,"mtgo, paper",U,U,,4199.0,0.21,2003,,normal,,,{U},1.0,Peek,94,,,"10E, ODY, SLD",common,10E,,,,Instant
William O'Connor,"mtgo, paper",U,U,,14698.0,0.57,2003,Enchant,normal,,,{3}{U}{U},5.0,Persuasion,95,,,"10E, ODY",uncommon,10E,Aura,,,Enchantment
Greg Staples,"mtgo, paper",U,U,,13338.0,0.24,2003,,normal,,,{1}{U}{U},3.0,Phantom Warrior,96,,2,"10E, 6ED, 7ED, 8ED, 9ED, BBD, DPA, M10, M14, M20, POR, PS11, S99, WTH",uncommon,10E,"Illusion, Warrior",,2,Creature
Jeremy Jarvis,"mtgo, paper",U,U,,14934.0,0.39,2003,,normal,,,{3}{U},4.0,Plagiarize,97,,,"10E, 9ED, TOR",rare,10E,,,,Instant
Kev Walker,"mtgo, paper",U,U,,9826.0,0.05,2003,,normal,,,{2}{U},3.0,Puppeteer,98,,1,"10E, 8ED, 9ED, ODY, PSAL",uncommon,10E,"Human, Wizard",,2,Creature
Ralph Horsley,"mtgo, paper",U,U,,13336.0,0.21,2003,,normal,,,{2}{U},3.0,Reminisce,99,,,"10E, 9ED, DDJ, ONS",uncommon,10E,,,,Sorcery
Adam Rex,"mtgo, paper",U,U,,11239.0,0.13,2003,,normal,,,{1}{U},2.0,Remove Soul,100,,,"10E, 5ED, 6ED, 7ED, 8ED, 9ED, BCHR, CHR, LEG, ME3, P09, PRM, S99",common,10E,,,,Instant
Christopher Moeller,"mtgo, paper",U,U,,9395.0,0.11,2003,Enchant,normal,,,{U},1.0,Robe of Mirrors,101,,,"10E, EXO",common,10E,Aura,,,Enchantment
Mark Tedin,"mtgo, paper",U,U,,20947.0,0.08,2003,"Islandwalk, Landwalk",normal,,,{2}{U},3.0,Rootwater Commando,102,,2,"10E, NEM",common,10E,Merfolk,,2,Creature
Daren Bader,"mtgo, paper",U,U,,16726.0,0.17,2003,,normal,,,{2}{U}{U},4.0,Rootwater Matriarch,103,,2,"10E, TMP",rare,10E,Merfolk,,3,Creature
Mark Brill,"mtgo, paper",U,U,,8258.0,0.03,2003,Flying,normal,,,{1}{U},2.0,Sage Owl,104,,1,"10E, 6ED, 7ED, 8ED, M10, PSAL, WTH",common,10E,Bird,,1,Creature
Mark Tedin,"mtgo, paper",U,U,,20179.0,0.03,2003,Flying,normal,,,{4}{U},5.0,Scalpelexis,105,,1,"10E, JUD, PLIST",rare,10E,Beast,,5,Creature
Brian Despain,"mtgo, paper",U,U,,22543.0,0.16,2003,,normal,,,{4}{U}{U},6.0,Sea Monster,106,,6,"10E, 6ED, 7ED, 8ED, 9ED, TMP, TPR",common,10E,Serpent,,6,Creature
Carl Critchlow,"mtgo, paper",U,U,,7715.0,,2003,Enchant,normal,,,{U},1.0,Shimmering Wings,107,,,"10E, INV, TMP",common,10E,Aura,,,Enchantment
Jeremy Jarvis,"mtgo, paper",U,U,,12423.0,0.05,2003,,normal,,,{3}{U},4.0,Sift,108,,,"10E, 2XM, 9ED, A25, M19, PS11, STH, TPR",common,10E,,,,Sorcery
Christopher Moeller,"mtgo, paper",U,U,,25500.0,,2003,,normal,,,{1}{U},2.0,Sky Weaver,109,,2,"10E, INV",uncommon,10E,"Metathran, Wizard",,1,Creature
Dave Dorman,"mtgo, paper",U,U,,23089.0,,2003,Flying,normal,,,{3}{U},4.0,Snapping Drake,110,,3,"10E, BTD, DPA, M10, M19, M20, MB1, POR, PS11, RAV, S99",common,10E,Drake,,2,Creature
Greg Staples,"mtgo, paper",U,U,,13355.0,0.12,2003,Flying,normal,,,{1}{U},2.0,Spiketail Hatchling,111,,1,"10E, 8ED, PCY",uncommon,10E,Drake,,1,Creature
Volkan BaÇµa,"mtgo, paper",U,U,,13925.0,0.82,2003,,normal,,,{3}{U}{U},5.0,Sunken Hope,112,,,"10E, PC2, PCA, PLS",rare,10E,,,,Enchantment
Matthew D. Wilson,"mtgo, paper",U,U,,3875.0,0.94,2003,,normal,,,{U},1.0,Telepathy,113,,,"10E, 7ED, 8ED, 9ED, M10, USG",uncommon,10E,,,,Enchantment
Scott M. Fischer,"mtgo, paper",U,U,,4104.0,0.15,2003,,normal,,,{1}{U},2.0,Telling Time,114,,,"10E, C18, GK1, MM2, RAV",uncommon,10E,,,,Instant
Una Fricker,"mtgo, paper",U,U,,11897.0,,2003,Flying,normal,,,{2}{U}{U},4.0,Thieving Magpie,115,,1,"10E, 7ED, 8ED, 9ED, DMR, DPA, MB1, PS11, UDS",uncommon,10E,Bird,,3,Creature
Pete Venters,"mtgo, paper",U,U,,11663.0,0.05,2003,,normal,,,{3}{U}{U},5.0,Tidings,116,,,"10E, 9ED, C18, P08, PRM, S99",uncommon,10E,,,,Sorcery
Scott M. Fischer,"mtgo, paper",U,U,,9575.0,1.08,2003,,normal,,,{4}{U}{U},6.0,Time Stop,117,,,"10E, CHK",rare,10E,,,,Instant
Matt Cavotta,"mtgo, paper",U,U,,2751.0,2.05,2003,,normal,,,{8}{U}{U},10.0,Time Stretch,118,,,"10E, DMR, ODY, PLIST",rare,10E,,,,Sorcery
Greg Staples,"mtgo, paper",U,U,,2592.0,0.98,2003,Mill,normal,,,{3}{U}{U},5.0,Traumatize,119,,,"10E, 9ED, M10, M11, M14, ODY, PS11",rare,10E,,,,Sorcery
Christopher Moeller,"mtgo, paper",U,U,,4191.0,0.28,2003,,normal,,,{U}{U},2.0,Twincast,120,,,"10E, M10, SOK",rare,10E,,,,Instant
DiTerlizzi,"mtgo, paper",U,U,,9253.0,0.07,2003,,normal,,,{2}{U},3.0,Twitch,121,,,"10E, TMP, TPR, WWK",common,10E,,,,Instant
